sku,category,brand,warehouse_zone,supplier,supplier_contact,last_sale_date,last_audit_date,restock_date,stock_on_hand,units_sold_30d,sell_through_rate,unit_cost_inr,mrp_inr,reorder_point,lead_time_days,is_active
SPO-57267,Sports & Outdoors,SwiftBrand,ZONE D,GlobalTrade Ltd,contact579@globaltradeltd.com,2024-10-12,2025-07-30,2026-06-21,1.0,45,0.014387114898484543,6526.0,14213.08261101836,146.0,44,True
ELE-27895,Electronics,NovaLine,Zone C,DirectImport,contact683@directimport.com,2024-10-26,2025-07-02,2026-07-10,76.0,283,0.5215785077749362,2963.0,9164.484186742417,190.0,10,True
AUT-90601,Automotive,ZenCraft,Zone C,QuickStock,contact408@quickstock.com,2024-10-18,2025-11-29,2026-08-14,96.0,145,0.07717037108543512,2621.0,3472.893953808725,175.0,13,True
ELE-88991,Electronics,NovaLine,Zone D,GlobalTrade Ltd,contact405@globaltradeltd.com,2024-08-29,2025-06-20,2026-06-21,31.0,224,0.4967756668930665,5314.0,18463.799140669667,89.0,36,True
STA-63517,Stationery,UrbanWave,zone b,DirectImport,,2024-07-31,2025-07-13,2026-05-26,359.0,154,0.3728722140432593,7977.0,20738.24877441912,84.0,37,True
APP-43071,Apparel,ZenCraft,Zone C,PrimeParts,contact771@primeparts.com,2024-05-13,2025-09-23,2026-07-29,-73.0,253,0.07646221405825682,4488.0,14164.766881987922,133.0,23,True
APP-63588,Apparel,SwiftBrand,Zone B,FastShip Pvt,contact465@fastshippvt.com,2024-10-07,2025-09-11,2026-08-07,236.0,177,0.19605762033808394,7501.0,20989.57624425884,32.0,36,True
HOM-62199,Home & Kitchen,CorePeak,Zone D,GlobalTrade Ltd,contact234@globaltradeltd.com,2024-05-02,2025-07-22,2026-08-26,284.0,156,0.5789289778603696,4505.0,8656.798656201287,117.0,33,True
AUT-89479,Automotive,GenericPlus,zone a,PrimeParts,contact973@primeparts.com,2024-05-26,2026-02-18,2026-09-19,193.0,20,0.24109552792282962,3567.0,12002.895192187345,169.0,29,True
BEA-12088,Beauty,NovaLine,ZONE A,PrimeParts,contact534@primeparts.com,2024-11-21,,2026-07-14,112.0,100,0.9872929579307808,7909.0,26114.328776634142,167.0,42,True
SPO-83443,Sports & Outdoors,TrueForm,zone c,SupplyCo India,contact166@supplycoindia.com,2024-08-25,2026-02-10,2026-06-29,116.0,17,0.34468064048406266,1872.0,5303.508986804574,184.0,3,False
BEA-24959,Beauty,CorePeak,Zone C,PrimeParts,contact698@primeparts.com,2024-06-23,2025-09-15,2026-06-16,283.0,131,0.8832025885621662,5929.0,13467.082645218663,66.0,9,True
SPO-66740,Sports & Outdoors,TrueForm,ZONE A,SupplyCo India,contact724@supplycoindia.com,2024-04-26,2025-08-01,2026-09-14,29.0,261,0.5513871915954146,517.0,1707.8019247080745,,28,True
ELE-23801,Electronics,NovaLine,Zone D,FastShip Pvt,,2024-05-19,2025-11-12,2026-07-08,453.0,32,0.6358208523017675,1990218.0,5322384.464168734,,24,True
SPO-59615,Sports & Outdoors,UrbanWave,ZONE C,SupplyCo India,contact189@supplycoindia.com,2024-11-23,2025-09-03,2026-09-12,230.0,223,0.6884045387200038,6618.0,22062.88746680783,125.0,22,True
BEA-12277,Beauty,CorePeak,Zone D,LocalSource,,2024-12-02,2025-10-08,2026-09-15,86.0,58,0.6685404794697416,5675.0,11487.680286652232,112.0,9,True
BEA-52696,Beauty,GenericPlus,Zone B,DirectImport,contact617@directimport.com,2024-09-03,2025-09-21,2026-08-06,119.0,0,,5213.0,12523.422379289426,156.0,26,False
HOM-72528,Home & Kitchen,AlphaEdge,Zone C,FastShip Pvt,contact475@fastshippvt.com,2024-07-10,2025-06-20,2026-05-30,299.0,151,0.061506035320814556,7917.0,22817.38488399923,,7,True
AUT-60630,Automotive,TrueForm,Zone D,GlobalTrade Ltd,contact564@globaltradeltd.com,2024-09-28,2025-04-14,2026-06-25,264.0,112,0.2181859929854315,3215.0,5688.984485241679,104.0,37,True
TOY-33553,Toys,NovaLine,ZONE A,GlobalTrade Ltd,contact546@globaltradeltd.com,2024-08-31,2025-10-30,2026-08-01,123.0,26,0.5064300072387589,2536.0,3789.1299124764264,,28,True
TOY-60849,Toys,NovaLine,ZONE D,PrimeParts,,2024-04-18,2025-09-24,2026-06-11,240.0,242,0.370075544859214,5681.0,10485.327552746652,0.7237244290918009,6,True
HOM-82247,Home & Kitchen,TrueForm,ZONE D,FastShip Pvt,contact738@fastshippvt.com,2024-06-19,2025-05-28,2026-07-04,436.0,101,0.02181121029301447,6160.0,19156.24683117493,191.0,6,True
APP-26271,Apparel,TrueForm,Zone C,PrimeParts,contact939@primeparts.com,2024-10-25,2025-11-18,2026-08-15,272.0,27,0.34085978820789387,5603.0,6755.306115656571,125.0,41,True
STA-29879,Stationery,SwiftBrand,ZONE C,QuickStock,contact613@quickstock.com,2024-10-26,2025-10-26,2026-08-20,298.0,299,0.023633394831415022,2381.0,7459.563796757292,32.0,34,True
SPO-12021,Sports & Outdoors,TrueForm,ZONE C,LocalSource,,2024-07-14,2025-05-24,2026-08-02,151.0,43,0.5786605842933144,0.0,0.0,174.0,32,True
APP-32679,Apparel,CorePeak,ZONE B,FastShip Pvt,contact817@fastshippvt.com,2024-12-02,2025-10-28,2026-08-08,358.0,103,0.6733446720142555,5858.0,4646.1622714496925,53.0,12,True
ELE-88009,Electronics,ZenCraft,zone c,FastShip Pvt,contact476@fastshippvt.com,2024-10-13,2026-01-07,2026-09-19,213.0,51,0.15841079599126295,4523.0,9126.21497765929,,4,True
SPO-30382,Sports & Outdoors,CorePeak,zone b,PrimeParts,contact824@primeparts.com,2024-11-30,2025-12-04,2026-08-04,99.0,235,0.9634085034562486,930.0,1649.4739374611124,134.0,27,True
HOM-60090,Home & Kitchen,AlphaEdge,Zone D,LocalSource,contact134@localsource.com,2024-05-31,2026-01-27,2026-08-17,156.0,15,,2832445.0,8874758.872438032,0.7271486615963143,23,True
AUT-71149,Automotive,SwiftBrand,zone d,PrimeParts,,2024-05-04,2026-01-11,2026-08-13,427.0,299,0.056235183894478014,3731.0,8854.843655771945,187.0,express,False
TOY-21491,Toys,ZenCraft,ZONE D,FastShip Pvt,contact243@fastshippvt.com,2024-09-19,2025-10-02,2026-08-21,218.0,250,0.48593372859539874,2770.0,3568.999902715712,0.3324472100242246,2-3 weeks,True
SPO-49907,Sports & Outdoors,CorePeak,Zone D,LocalSource,contact922@localsource.com,2024-07-31,2026-01-11,2026-08-31,131.0,102,0.8126450176927343,686.0,841.1862490152632,155.0,33,False
TOY-28161,Toys,AlphaEdge,Zone A,FastShip Pvt,,2024-11-02,2026-01-21,2026-07-06,153.0,100,,981.0,2272.459741097038,72.0,30,True
SPO-92997,Sports & Outdoors,UrbanWave,Zone B,LocalSource,contact684@localsource.com,2024-10-14,,2026-08-23,133.0,196,0.3695384905576622,1713.0,2212.650939384805,160.0,21,True
APP-19735,Apparel,AlphaEdge,Zone A,SupplyCo India,contact160@supplycoindia.com,2024-09-16,2025-07-02,2026-08-04,364.0,227,0.02522526902060207,3566.0,11651.645988698305,182.0,774,True
ELE-11159,Electronics,CorePeak,zone c,FastShip Pvt,contact661@fastshippvt.com,2024-11-03,2025-07-20,2026-07-04,50.0,32,0.8858969834688758,0.0,0.0,,25,True
HOM-39608,Home & Kitchen,ZenCraft,Zone A,QuickStock,,2024-04-16,2026-02-17,2026-06-14,486.0,220,,0.0,0.0,94.0,3,True
ELE-74846,Electronics,AlphaEdge,ZONE D,LocalSource,contact454@localsource.com,2024-09-04,2025-06-17,2026-06-08,158.0,113,0.4212428977816004,2466.0,7631.586358400603,102.0,29,True
HOM-21566,Home & Kitchen,NovaLine,Zone C,LocalSource,contact804@localsource.com,2024-10-11,2026-03-08,2026-06-15,186.0,263,0.023605073284656775,975.0,1142.1454068841874,189.0,375,True
ELE-52102,Electronics,SwiftBrand,Zone A,DirectImport,contact676@directimport.com,2024-05-02,2025-11-01,2026-06-11,490.0,98,0.3386721140182236,6554.0,8309.854624395703,163.0,12,True
APP-66255,Apparel,AlphaEdge,Zone C,LocalSource,contact125@localsource.com,2024-07-01,2025-09-28,2026-09-08,-28.0,286,0.35739058619723907,3730.0,4874.5687670631905,31.0,16,True
HOM-68845,Home & Kitchen,SwiftBrand,Zone A,QuickStock,contact593@quickstock.com,2024-08-04,2025-05-22,2026-07-07,389.0,172,0.7662602446741865,2898.0,6396.174673239486,157.0,14,True
ELE-13867,Electronics,NovaLine,Zone C,FastShip Pvt,contact116@fastshippvt.com,2024-08-30,,2026-09-18,17.0,133,0.012909268402059415,3425310.0,4158532.9106278936,107.0,5,False
HOM-73199,Home & Kitchen,SwiftBrand,Zone D,DirectImport,,2024-11-17,2025-12-01,2026-06-07,4.0,15,0.11239862408110501,6716.0,23021.15765547981,12.0,30,True
APP-41394,Apparel,AlphaEdge,Zone B,LocalSource,contact205@localsource.com,2024-06-19,2025-07-18,2026-07-20,145.0,10,0.7943413013416575,943.0,2505.084229831737,0.1253181142456893,39,False
STA-16558,Stationery,SwiftBrand,Zone A,PrimeParts,contact397@primeparts.com,2024-06-07,2025-10-24,2026-06-26,326.0,58,0.7830776417677942,6438.0,7424.800612851652,130.0,572,False
APP-10111,Apparel,SwiftBrand,Zone C,GlobalTrade Ltd,contact847@globaltradeltd.com,2024-06-24,2026-02-02,2026-05-28,176.0,96,0.8783887538044586,1551.0,2369.3920594999545,,38,True
APP-94259,Apparel,TrueForm,ZONE A,GlobalTrade Ltd,contact217@globaltradeltd.com,2024-10-04,2025-08-16,2026-05-28,78.0,103,0.2728598162035629,5536.0,13936.231608737042,46.0,28,True
HOM-62235,Home & Kitchen,CorePeak,zone b,LocalSource,contact588@localsource.com,2024-07-25,2025-04-13,2026-05-28,411.0,247,0.6113184946246066,6675.0,11846.427047485684,53.0,22,True
BEA-56177,Beauty,TrueForm,Zone D,FastShip Pvt,contact432@fastshippvt.com,2024-07-19,2025-10-08,2026-05-31,191.0,285,0.289624765848958,6733.0,12659.740283753383,17.0,729,False
STA-63814,Stationery,TrueForm,Zone A,LocalSource,contact443@localsource.com,2024-11-12,2025-07-21,2026-08-15,211.0,192,0.6302845088925895,7514.0,11431.54269454592,177.0,5,True
ELE-71828,Electronics,CorePeak,Zone B,QuickStock,,2024-08-24,2026-02-18,2026-06-20,215.0,127,0.515964849732657,2429.0,7995.8626038826815,61.0,24,True
APP-11866,Apparel,NovaLine,Zone D,PrimeParts,contact744@primeparts.com,2024-08-28,,2026-08-07,445.0,40,0.2879200069522405,3723.0,10362.642277950314,96.0,18,True
BEA-25971,Beauty,UrbanWave,Zone C,GlobalTrade Ltd,contact824@globaltradeltd.com,2024-08-09,,2026-08-23,8.0,259,0.2791965118480363,3121927.0,10723143.777297415,27.0,18,False
STA-32773,Stationery,ZenCraft,Zone C,PrimeParts,,2024-12-08,2025-06-27,2026-07-09,360.0,68,,0.0,0.0,140.0,20,True
TOY-21751,Toys,SwiftBrand,Zone B,QuickStock,,2024-12-02,2026-03-05,2026-07-02,155.0,200,0.7328232184937322,3278.0,9158.747266888024,28.0,21,True
APP-27888,Apparel,CorePeak,Zone D,QuickStock,contact779@quickstock.com,2024-07-28,2025-12-29,2026-09-06,246.0,52,0.8478186594897804,7689.0,11639.187239263569,158.0,38,False
SPO-94943,Sports & Outdoors,TrueForm,Zone A,LocalSource,contact988@localsource.com,2024-06-16,2025-05-05,2026-08-19,345.0,61,0.6142715297863007,63.0,176.39244620922838,0.40669787839962884,29,True
BEA-67582,Beauty,SwiftBrand,zone a,GlobalTrade Ltd,contact174@globaltradeltd.com,2024-06-28,2025-07-03,2026-08-04,469.0,216,0.6596796044289029,6527.0,19274.00052988433,85.0,5,True
SPO-49464,Sports & Outdoors,CorePeak,Zone A,LocalSource,contact778@localsource.com,2024-12-01,,2026-08-18,274.0,49,,3718350.0,6271727.4457135815,94.0,44,True
ELE-46219,Electronics,ZenCraft,Zone C,PrimeParts,,2024-10-28,2025-05-02,2026-07-23,128.0,195,0.14688404885484185,1817.0,6344.3966073526635,,27,True
APP-37583,Apparel,ZenCraft,Zone A,PrimeParts,contact857@primeparts.com,2024-06-11,2026-03-24,2026-08-13,55.0,84,0.8757705356652846,380.0,641.5475124210276,75.0,271,True
APP-37775,Apparel,ZenCraft,Zone D,GlobalTrade Ltd,contact959@globaltradeltd.com,2024-07-15,,2026-07-04,436.0,171,0.23481266726452632,6199.0,7289.116274485729,105.0,31,False
APP-69650,Apparel,AlphaEdge,Zone B,LocalSource,contact651@localsource.com,2024-07-17,2025-05-25,2026-08-20,78.0,257,0.7331406035618564,5314.0,11184.718457669034,43.0,32,True
ELE-68346,Electronics,AlphaEdge,zone d,SupplyCo India,contact251@supplycoindia.com,2024-08-14,2025-09-05,2026-09-03,23.0,244,0.9267083401707841,1384.0,2922.7061685899466,92.0,22,True
TOY-89478,Toys,CorePeak,ZONE C,PrimeParts,contact969@primeparts.com,2024-06-12,2025-11-12,2026-07-12,458.0,120,0.6699627154686237,7387.0,8905.172125251427,136.0,6,True
HOM-91974,Home & Kitchen,UrbanWave,ZONE A,SupplyCo India,contact124@supplycoindia.com,2024-07-11,2025-09-10,2026-09-20,41.0,66,0.17368692988552614,541.0,1042.6581260145479,152.0,40,True
APP-34892,Apparel,UrbanWave,zone d,PrimeParts,contact235@primeparts.com,2024-10-27,2025-08-03,2026-06-19,76.0,291,0.43500945443591843,6982.0,17718.336319057027,168.0,36,True
ELE-20022,Electronics,ZenCraft,Zone D,QuickStock,contact724@quickstock.com,2024-08-22,2026-01-26,2026-08-03,196.0,106,0.2915455350691113,4644.0,14760.398658532273,129.0,12,True
TOY-70216,Toys,ZenCraft,Zone A,GlobalTrade Ltd,contact480@globaltradeltd.com,2024-04-22,,2026-06-11,253.0,85,0.9290846108015032,2236.0,7065.3903234324,,44,True
BEA-14140,Beauty,AlphaEdge,Zone B,GlobalTrade Ltd,,2024-10-25,2025-07-10,2026-09-15,84.0,173,0.9161892912620863,2165.0,3050.8176248884624,76.0,28,True
APP-30624,Apparel,NovaLine,Zone B,DirectImport,contact428@directimport.com,2024-11-01,2025-06-25,2026-07-07,147.0,187,0.32410672869577173,0.0,0.0,111.0,32,False
APP-70315,Apparel,SwiftBrand,Zone D,LocalSource,contact788@localsource.com,2024-12-04,2025-04-02,2026-06-11,373.0,50,0.9248860524423812,5838.0,18976.71867673464,21.0,21,True
HOM-60474,Home & Kitchen,ZenCraft,Zone C,QuickStock,contact381@quickstock.com,2024-06-16,2025-06-30,2026-06-15,285.0,269,0.7279756266053495,1095.0,3096.4939247285893,184.0,26,True
APP-29955,Apparel,ZenCraft,ZONE C,FastShip Pvt,contact206@fastshippvt.com,2024-05-08,,2026-09-01,201.0,281,0.11053957761488209,5996.0,9216.688614959454,,11,True
ELE-53781,Electronics,AlphaEdge,Zone B,LocalSource,contact965@localsource.com,2024-11-23,2025-05-03,2026-06-07,196.0,88,0.8457847305257,603.0,1318.6731092095206,118.0,21,False
SPO-67217,Sports & Outdoors,SwiftBrand,Zone B,PrimeParts,contact740@primeparts.com,2024-08-03,2025-08-17,2026-06-09,234.0,184,0.5781094107806155,3545.0,5414.021296015266,144.0,26,True
HOM-20089,Home & Kitchen,UrbanWave,Zone C,SupplyCo India,contact204@supplycoindia.com,2024-05-29,2025-10-17,2026-06-01,4.0,228,0.49634537132014256,2718.0,3547.978559953901,0.703997124427018,7,True
ELE-39036,Electronics,SwiftBrand,Zone B,LocalSource,contact230@localsource.com,2024-06-24,2026-01-08,2026-08-03,61.0,65,,7470.0,9666.923062298085,44.0,33,False
TOY-81395,Toys,SwiftBrand,Zone D,GlobalTrade Ltd,contact831@globaltradeltd.com,2024-10-28,2025-08-03,2026-07-04,44.0,134,0.9876944537432157,5605.0,7952.229900399801,182.0,varies,True
TOY-36114,Toys,ZenCraft,Zone D,QuickStock,contact319@quickstock.com,2024-07-28,2025-04-03,2026-07-20,176.0,92,0.2890276428925578,3152.0,4183.373047254491,185.0,25,True
ELE-27895,Electronics,NovaLine,Zone C,DirectImport,contact683@directimport.com,2024-10-26,2025-07-02,2026-07-10,76.0,283,0.5215785077749362,2963.0,9164.484186742417,190.0,10,True
APP-89144,Apparel,ZenCraft,ZONE C,SupplyCo India,contact377@supplycoindia.com,2024-09-21,2026-03-25,2026-06-06,461.0,30,0.6912042068094941,1639.0,4053.6330565939893,139.0,28,True
TOY-97592,Toys,SwiftBrand,Zone B,DirectImport,contact670@directimport.com,2024-04-30,2025-11-25,2026-05-26,104.0,51,0.35441643452730587,5677.0,4288.197337873729,127.0,41,True
BEA-82355,Beauty,SwiftBrand,Zone A,FastShip Pvt,contact287@fastshippvt.com,2024-09-11,2026-01-25,2026-08-27,298.0,76,0.8676114316183182,3504.0,9146.529330992173,43.0,262,True
HOM-85502,Home & Kitchen,AlphaEdge,Zone A,FastShip Pvt,contact575@fastshippvt.com,2024-11-25,2025-10-25,2026-07-24,98.0,202,0.15734313860350835,648.0,1415.2968786762508,0.7885641564092825,20,True
ELE-51801,Electronics,UrbanWave,Zone B,LocalSource,contact983@localsource.com,2024-09-26,2025-06-30,2026-06-06,6.0,26,0.8309405208755498,2462.0,7679.545286364041,77.0,11,True
ELE-78502,Electronics,TrueForm,zone c,SupplyCo India,contact289@supplycoindia.com,2024-05-27,2025-09-05,2026-05-29,241.0,214,0.9022975142330846,2282.0,4610.38521600468,,on demand,True
BEA-88111,Beauty,TrueForm,Zone D,DirectImport,contact138@directimport.com,2024-07-22,,2026-07-24,240.0,48,0.6000557650317335,6255.0,21874.60754983806,51.0,27,True
TOY-53342,Toys,AlphaEdge,Zone B,DirectImport,contact725@directimport.com,2024-12-06,2025-08-05,2026-08-24,14.0,127,0.44503581571441164,0.0,0.0,137.0,22,False
TOY-71746,Toys,UrbanWave,Zone B,QuickStock,contact115@quickstock.com,2024-07-04,2025-12-23,2026-06-03,71.0,285,0.5620440955383038,2632.0,4394.815332304016,148.0,38,True
STA-85465,Stationery,SwiftBrand,Zone A,DirectImport,,2024-10-12,2025-06-19,2026-06-26,50.0,194,0.5242135546939334,7140.0,9835.767926966062,0.8213855402718748,26,True
ELE-99097,Electronics,ZenCraft,Zone A,SupplyCo India,,2024-07-16,2025-11-19,2026-09-03,86.0,101,0.761487454234419,744.0,1923.4697163414075,76.0,37,True
AUT-24767,Automotive,NovaLine,zone d,DirectImport,contact419@directimport.com,2024-10-30,2025-08-23,2026-07-19,140.0,185,0.2149624923194856,4573.0,6364.986582483753,56.0,19,True
ELE-47542,Electronics,TrueForm,Zone C,SupplyCo India,contact891@supplycoindia.com,2024-07-14,2026-01-11,2026-08-12,224.0,70,0.11857263628342196,2094.0,6944.337133284932,162.0,2-3 weeks,True
APP-70067,Apparel,UrbanWave,Zone D,FastShip Pvt,contact337@fastshippvt.com,2024-04-20,2025-05-15,2026-07-24,356.0,287,0.3915312836273994,3037.0,5975.892890539533,150.0,42,True
ELE-38449,Electronics,AlphaEdge,Zone C,SupplyCo India,contact180@supplycoindia.com,2024-05-13,,2026-07-24,139.0,293,0.3526518069268102,980.0,3353.632286328262,41.0,6,True
STA-39216,Stationery,SwiftBrand,Zone D,PrimeParts,contact612@primeparts.com,2024-05-11,2025-06-07,2026-06-05,222.0,168,0.5833300905638155,4007.0,13107.45641961846,84.0,42,True
ELE-45779,Electronics,TrueForm,zone c,QuickStock,contact758@quickstock.com,2024-05-13,2025-12-31,2026-09-16,221.0,115,0.5183254130561992,3150.0,8442.902193532998,181.0,29,True
ELE-63461,Electronics,NovaLine,Zone A,DirectImport,contact456@directimport.com,2024-11-08,2025-10-11,2026-06-08,98.0,223,0.7143491355329407,5682.0,15813.72259846963,55.0,40,True
APP-69729,Apparel,UrbanWave,Zone B,LocalSource,contact552@localsource.com,2024-10-02,2025-06-09,2026-06-15,241.0,297,0.650015828244699,0.0,0.0,189.0,11,False
HOM-81357,Home & Kitchen,TrueForm,Zone D,GlobalTrade Ltd,contact947@globaltradeltd.com,2024-05-25,2026-03-04,2026-08-17,134.0,47,0.6614892630831111,0.0,0.0,126.0,20,True
SPO-99453,Sports & Outdoors,UrbanWave,Zone D,QuickStock,,2024-10-08,2025-12-14,2026-07-21,233.0,108,3.3610284016946386,1390.0,3219.604977598666,,6,True
APP-89294,Apparel,ZenCraft,zone c,PrimeParts,contact795@primeparts.com,2024-05-02,2025-05-25,2026-08-09,364.0,277,0.6460589285922788,107.0,167.83939896236728,138.0,30,True
STA-40240,Stationery,CorePeak,zone c,QuickStock,contact816@quickstock.com,2024-11-26,2026-02-18,2026-08-20,280.0,135,0.28904973713731597,412.0,501.16064454385537,36.0,36,True
HOM-79958,Home & Kitchen,ZenCraft,Zone B,GlobalTrade Ltd,,2024-04-11,2025-11-11,2026-06-30,259.0,271,0.11220092577736729,2728.0,6645.93199824565,98.0,16,True
ELE-50548,Electronics,NovaLine,zone a,DirectImport,contact627@directimport.com,2024-09-20,2025-05-10,2026-06-25,117.0,15,0.34399962082263036,3153.0,10895.753576669838,197.0,14,True
TOY-26698,Toys,AlphaEdge,ZONE C,PrimeParts,contact509@primeparts.com,2024-04-16,2025-07-06,2026-07-02,408.0,125,0.9449693065069535,2607.0,5765.968403924931,86.0,44,True
APP-31455,Apparel,ZenCraft,Zone A,DirectImport,,2024-04-07,2026-01-15,2026-08-31,215.0,241,0.8970962738758538,2242.0,2988.938628992555,43.0,42,True
ELE-12310,Electronics,SwiftBrand,Zone D,SupplyCo India,contact174@supplycoindia.com,2024-11-08,2026-01-28,2026-07-04,160.0,85,0.8179050849375116,4779.0,16465.368713012944,148.0,10,True
ELE-47711,Electronics,TrueForm,zone a,PrimeParts,contact213@primeparts.com,2024-10-22,2025-04-17,2026-08-18,256.0,237,0.5832250935496867,2718.0,7248.11842506195,,17,True
ELE-28566,Electronics,UrbanWave,Zone B,LocalSource,contact833@localsource.com,2024-09-16,2025-11-30,2026-08-16,285.0,197,0.8231849637973074,2125.0,6640.940135203916,95.0,14,True
TOY-48762,Toys,CorePeak,ZONE A,LocalSource,contact610@localsource.com,2024-10-17,2025-08-05,2026-09-17,449.0,289,0.25778066774836905,372.0,1045.4458164635057,194.0,522,False
ELE-28179,Electronics,AlphaEdge,Zone A,FastShip Pvt,,2024-04-22,2025-11-24,2026-07-01,143.0,143,0.21175716578272807,7749.0,18284.838084281986,,2-3 weeks,True
ELE-76109,Electronics,UrbanWave,zone d,FastShip Pvt,contact956@fastshippvt.com,2024-08-19,2025-10-23,2026-07-05,493.0,262,0.3968812226074251,4889.0,6186.363977869089,132.0,20,False
ELE-30822,Electronics,NovaLine,zone d,FastShip Pvt,,2024-05-08,,2026-06-19,240.0,81,0.4858732433010806,6726.0,13033.980496714343,57.0,23,False
ELE-24185,Electronics,ZenCraft,Zone D,PrimeParts,contact465@primeparts.com,2024-05-30,2025-03-29,2026-06-21,411.0,265,0.4348553302193062,2017190.0,6350527.3380807135,0.6846346585840418,42,True
AUT-72854,Automotive,UrbanWave,Zone A,LocalSource,contact836@localsource.com,2024-04-16,2025-06-11,2026-06-28,79.0,220,0.2985618640253864,4894.0,8351.893516218503,157.0,34,True
ELE-91245,Electronics,ZenCraft,Zone A,FastShip Pvt,,2024-04-15,,2026-05-27,260.0,59,0.7748738594487224,4195.0,9598.280071041865,72.0,15,True
HOM-11626,Home & Kitchen,SwiftBrand,ZONE A,GlobalTrade Ltd,contact297@globaltradeltd.com,2024-09-29,2025-08-27,2026-08-13,243.0,172,,3750.0,11597.853724993001,127.0,6,True
APP-18347,Apparel,SwiftBrand,Zone D,DirectImport,contact344@directimport.com,2024-07-17,2025-06-09,2026-08-24,270.0,88,0.8248513095816191,1546.0,4733.441051665495,73.0,28,True
APP-44801,Apparel,NovaLine,Zone A,LocalSource,contact685@localsource.com,2024-12-03,2025-11-29,2026-07-28,215.0,26,0.6206416402723611,4140.0,13995.365114728327,195.0,20,True
TOY-43464,Toys,GenericPlus,Zone B,QuickStock,contact793@quickstock.com,2024-11-09,2025-10-25,2026-07-24,148.0,127,0.9340151481417619,2387.0,1788.5852893791316,106.0,18,True
ELE-59702,Electronics,TrueForm,Zone D,QuickStock,contact163@quickstock.com,2024-05-31,2025-11-25,2026-05-26,342.0,101,0.5091013865416559,4703.0,9114.232971005567,178.0,40,True
TOY-14346,Toys,ZenCraft,Zone D,PrimeParts,,2024-11-09,2025-10-01,2026-05-27,118.0,98,0.3998024608220381,6118.0,14238.459934566154,,37,False
SPO-63132,Sports & Outdoors,NovaLine,Zone C,DirectImport,contact460@directimport.com,2024-04-10,,2026-06-30,204.0,297,0.4808034455877198,3443.0,8656.190212674104,156.0,19,True
